{'crystal': 0, 'rot': 1, 'center_x': 1032, 'center_y': 634}
{'crystal': 1, 'rot': 1, 'center_x': 774, 'center_y': 1148}
{'crystal': 2, 'rot': 1, 'center_x': 967, 'center_y': 493}
{'crystal': 3, 'rot': 1, 'center_x': 908, 'center_y': 522}
{'crystal': 4, 'rot': 1, 'center_x': 914, 'center_y': 487}
{'crystal': 5, 'rot': 1, 'center_x': 958, 'center_y': 493}
{'crystal': 6, 'rot': 1, 'center_x': 503, 'center_y': 672}
{'crystal': 7, 'rot': 1, 'center_x': 830, 'center_y': 461}
{'crystal': 8, 'rot': 1, 'center_x': 547, 'center_y': 796}
{'crystal': 9, 'rot': 1, 'center_x': 956, 'center_y': 636}
{'crystal': 10, 'rot': 1, 'center_x': 1012, 'center_y': 830}
{'crystal': 11, 'rot': 1, 'center_x': 568, 'center_y': 962}
{'crystal': 12, 'rot': 1, 'center_x': 972, 'center_y': 909}
{'crystal': 13, 'rot': 1, 'center_x': 988, 'center_y': 747}
{'crystal': 14, 'rot': 1, 'center_x': 879, 'center_y': 836}
{'crystal': 15, 'rot': 1, 'center_x': 795, 'center_y': 1195}
{'crystal': 16, 'rot': 1, 'center_x': 472, 'center_y': 552}
{'crystal': 17, 'rot': 1, 'center_x': 569, 'center_y': 465}
{'crystal': 18, 'rot': 1, 'center_x': 780, 'center_y': 849}
{'crystal': 19, 'rot': 1, 'center_x': 888, 'center_y': 786}
{'crystal': 20, 'rot': 1, 'center_x': 831, 'center_y': 1040}
{'crystal': 21, 'rot': 1, 'center_x': 639, 'center_y': 665}
{'crystal': 22, 'rot': 1, 'center_x': 501, 'center_y': 644}
{'crystal': 23, 'rot': 1, 'center_x': 923, 'center_y': 1099}
{'crystal': 24, 'rot': 1, 'center_x': 910, 'center_y': 856}
{'crystal': 25, 'rot': 1, 'center_x': 910, 'center_y': 985}
{'crystal': 26, 'rot': 1, 'center_x': 961, 'center_y': 803}
{'crystal': 27, 'rot': 1, 'center_x': 795, 'center_y': 712}
{'crystal': 28, 'rot': 1, 'center_x': 449, 'center_y': 753}
{'crystal': 29, 'rot': 1, 'center_x': 734, 'center_y': 1172}
{'crystal': 30, 'rot': 1, 'center_x': 505, 'center_y': 954}
{'crystal': 31, 'rot': 1, 'center_x': 544, 'center_y': 910}
{'crystal': 32, 'rot': 1, 'center_x': 908, 'center_y': 1081}
{'crystal': 33, 'rot': 1, 'center_x': 993, 'center_y': 1073}
{'crystal': 34, 'rot': 1, 'center_x': 719, 'center_y': 561}
{'crystal': 35, 'rot': 1, 'center_x': 708, 'center_y': 531}
{'crystal': 36, 'rot': 1, 'center_x': 540, 'center_y': 893}
{'crystal': 37, 'rot': 1, 'center_x': 983, 'center_y': 770}
{'crystal': 38, 'rot': 1, 'center_x': 873, 'center_y': 973}
{'crystal': 39, 'rot': 1, 'center_x': 546, 'center_y': 597}
{'crystal': 40, 'rot': 1, 'center_x': 871, 'center_y': 465}
{'crystal': 41, 'rot': 1, 'center_x': 751, 'center_y': 621}
{'crystal': 42, 'rot': 1, 'center_x': 596, 'center_y': 510}
{'crystal': 43, 'rot': 1, 'center_x': 893, 'center_y': 1105}
{'crystal': 44, 'rot': 1, 'center_x': 819, 'center_y': 1119}
{'crystal': 45, 'rot': 1, 'center_x': 1032, 'center_y': 1056}
{'crystal': 46, 'rot': 1, 'center_x': 506, 'center_y': 472}
{'crystal': 47, 'rot': 1, 'center_x': 441, 'center_y': 906}
{'crystal': 48, 'rot': 1, 'center_x': 658, 'center_y': 1197}
{'crystal': 49, 'rot': 1, 'center_x': 903, 'center_y': 713}
{'crystal': 50, 'rot': 1, 'center_x': 1004, 'center_y': 474}
{'crystal': 51, 'rot': 1, 'center_x': 721, 'center_y': 1019}
{'crystal': 52, 'rot': 1, 'center_x': 647, 'center_y': 644}
{'crystal': 53, 'rot': 1, 'center_x': 702, 'center_y': 1206}
{'crystal': 54, 'rot': 1, 'center_x': 690, 'center_y': 978}
{'crystal': 55, 'rot': 1, 'center_x': 882, 'center_y': 675}
{'crystal': 56, 'rot': 1, 'center_x': 873, 'center_y': 709}
{'crystal': 57, 'rot': 1, 'center_x': 1028, 'center_y': 1010}
{'crystal': 58, 'rot': 1, 'center_x': 925, 'center_y': 543}
{'crystal': 59, 'rot': 1, 'center_x': 795, 'center_y': 446}
{'crystal': 60, 'rot': 1, 'center_x': 869, 'center_y': 1068}
{'crystal': 61, 'rot': 1, 'center_x': 826, 'center_y': 757}
{'crystal': 62, 'rot': 1, 'center_x': 813, 'center_y': 1092}
{'crystal': 63, 'rot': 1, 'center_x': 782, 'center_y': 1128}
{'crystal': 64, 'rot': 1, 'center_x': 754, 'center_y': 762}
{'crystal': 65, 'rot': 1, 'center_x': 998, 'center_y': 913}
{'crystal': 66, 'rot': 1, 'center_x': 832, 'center_y': 836}
{'crystal': 67, 'rot': 1, 'center_x': 997, 'center_y': 736}
{'crystal': 68, 'rot': 1, 'center_x': 504, 'center_y': 1149}
{'crystal': 69, 'rot': 1, 'center_x': 489, 'center_y': 996}
{'crystal': 70, 'rot': 1, 'center_x': 969, 'center_y': 1002}
{'crystal': 71, 'rot': 1, 'center_x': 652, 'center_y': 1146}
{'crystal': 72, 'rot': 1, 'center_x': 963, 'center_y': 949}
{'crystal': 73, 'rot': 1, 'center_x': 797, 'center_y': 628}
{'crystal': 74, 'rot': 1, 'center_x': 992, 'center_y': 1237}
{'crystal': 75, 'rot': 1, 'center_x': 793, 'center_y': 1120}
{'crystal': 76, 'rot': 1, 'center_x': 689, 'center_y': 538}
{'crystal': 77, 'rot': 1, 'center_x': 837, 'center_y': 533}
{'crystal': 78, 'rot': 1, 'center_x': 771, 'center_y': 1121}
{'crystal': 79, 'rot': 1, 'center_x': 1018, 'center_y': 873}
{'crystal': 80, 'rot': 1, 'center_x': 916, 'center_y': 661}
{'crystal': 81, 'rot': 1, 'center_x': 694, 'center_y': 957}
{'crystal': 82, 'rot': 1, 'center_x': 929, 'center_y': 701}
{'crystal': 83, 'rot': 1, 'center_x': 557, 'center_y': 1210}
{'crystal': 84, 'rot': 1, 'center_x': 502, 'center_y': 608}
{'crystal': 85, 'rot': 1, 'center_x': 735, 'center_y': 1195}
{'crystal': 86, 'rot': 1, 'center_x': 797, 'center_y': 892}
{'crystal': 87, 'rot': 1, 'center_x': 493, 'center_y': 736}
{'crystal': 88, 'rot': 1, 'center_x': 525, 'center_y': 1046}
{'crystal': 89, 'rot': 1, 'center_x': 465, 'center_y': 1159}
{'crystal': 90, 'rot': 1, 'center_x': 528, 'center_y': 1116}
{'crystal': 91, 'rot': 1, 'center_x': 868, 'center_y': 820}
{'crystal': 92, 'rot': 1, 'center_x': 913, 'center_y': 511}
{'crystal': 93, 'rot': 1, 'center_x': 563, 'center_y': 1093}
{'crystal': 94, 'rot': 1, 'center_x': 465, 'center_y': 825}
{'crystal': 95, 'rot': 1, 'center_x': 805, 'center_y': 704}
{'crystal': 96, 'rot': 1, 'center_x': 558, 'center_y': 936}
{'crystal': 97, 'rot': 1, 'center_x': 585, 'center_y': 936}
{'crystal': 98, 'rot': 1, 'center_x': 534, 'center_y': 1000}
{'crystal': 99, 'rot': 1, 'center_x': 686, 'center_y': 1073}
{'crystal': 100, 'rot': 1, 'center_x': 541, 'center_y': 1115}
{'crystal': 101, 'rot': 1, 'center_x': 783, 'center_y': 905}
{'crystal': 102, 'rot': 1, 'center_x': 476, 'center_y': 1188}
{'crystal': 103, 'rot': 1, 'center_x': 919, 'center_y': 648}
{'crystal': 104, 'rot': 1, 'center_x': 594, 'center_y': 578}
{'crystal': 105, 'rot': 1, 'center_x': 873, 'center_y': 1143}
{'crystal': 106, 'rot': 1, 'center_x': 916, 'center_y': 1143}
{'crystal': 107, 'rot': 1, 'center_x': 879, 'center_y': 971}
{'crystal': 108, 'rot': 1, 'center_x': 527, 'center_y': 709}
{'crystal': 109, 'rot': 1, 'center_x': 990, 'center_y': 880}
{'crystal': 110, 'rot': 1, 'center_x': 508, 'center_y': 750}
{'crystal': 111, 'rot': 1, 'center_x': 666, 'center_y': 909}
{'crystal': 112, 'rot': 1, 'center_x': 832, 'center_y': 619}
{'crystal': 113, 'rot': 1, 'center_x': 945, 'center_y': 493}
{'crystal': 114, 'rot': 1, 'center_x': 843, 'center_y': 739}
{'crystal': 115, 'rot': 1, 'center_x': 669, 'center_y': 529}
{'crystal': 116, 'rot': 1, 'center_x': 731, 'center_y': 1112}
{'crystal': 117, 'rot': 1, 'center_x': 767, 'center_y': 1146}
{'crystal': 118, 'rot': 1, 'center_x': 777, 'center_y': 1211}
{'crystal': 119, 'rot': 1, 'center_x': 535, 'center_y': 849}
{'crystal': 120, 'rot': 1, 'center_x': 756, 'center_y': 770}
{'crystal': 121, 'rot': 1, 'center_x': 726, 'center_y': 1211}
{'crystal': 122, 'rot': 1, 'center_x': 511, 'center_y': 1187}
{'crystal': 123, 'rot': 1, 'center_x': 849, 'center_y': 1207}
{'crystal': 124, 'rot': 1, 'center_x': 559, 'center_y': 1125}
{'crystal': 125, 'rot': 1, 'center_x': 992, 'center_y': 1047}
{'crystal': 126, 'rot': 1, 'center_x': 603, 'center_y': 1188}
{'crystal': 127, 'rot': 1, 'center_x': 473, 'center_y': 1037}
{'crystal': 128, 'rot': 1, 'center_x': 992, 'center_y': 783}
{'crystal': 129, 'rot': 1, 'center_x': 633, 'center_y': 1078}
{'crystal': 130, 'rot': 1, 'center_x': 930, 'center_y': 450}
{'crystal': 131, 'rot': 1, 'center_x': 706, 'center_y': 1215}
{'crystal': 132, 'rot': 1, 'center_x': 443, 'center_y': 610}
{'crystal': 133, 'rot': 1, 'center_x': 905, 'center_y': 892}
{'crystal': 134, 'rot': 1, 'center_x': 783, 'center_y': 900}
{'crystal': 135, 'rot': 1, 'center_x': 761, 'center_y': 1129}
{'crystal': 136, 'rot': 1, 'center_x': 487, 'center_y': 761}
{'crystal': 137, 'rot': 1, 'center_x': 708, 'center_y': 1055}
{'crystal': 138, 'rot': 1, 'center_x': 908, 'center_y': 857}
{'crystal': 139, 'rot': 1, 'center_x': 875, 'center_y': 531}
{'crystal': 140, 'rot': 1, 'center_x': 834, 'center_y': 793}
{'crystal': 141, 'rot': 1, 'center_x': 516, 'center_y': 657}
{'crystal': 142, 'rot': 1, 'center_x': 870, 'center_y': 1163}
{'crystal': 143, 'rot': 1, 'center_x': 683, 'center_y': 667}
{'crystal': 144, 'rot': 1, 'center_x': 670, 'center_y': 477}
{'crystal': 145, 'rot': 1, 'center_x': 650, 'center_y': 695}
{'crystal': 146, 'rot': 1, 'center_x': 818, 'center_y': 959}
{'crystal': 147, 'rot': 1, 'center_x': 502, 'center_y': 1038}
{'crystal': 148, 'rot': 1, 'center_x': 1001, 'center_y': 632}
{'crystal': 149, 'rot': 1, 'center_x': 1024, 'center_y': 574}
{'crystal': 150, 'rot': 1, 'center_x': 640, 'center_y': 548}
