g, r, t, l, id
2, 0.2, 0.1, 0.0, 0
2, 0.2, 0.1, 0.1, 1
2, 0.2, 0.1, 0.2, 2
2, 0.2, 0.1, 0.3, 3
2, 0.2, 0.1, 0.4, 4
2, 0.2, 0.1, 0.5, 5
2, 0.2, 0.1, 0.6, 6
2, 0.2, 0.1, 0.7, 7
2, 0.2, 0.1, 0.8, 8
2, 0.2, 0.1, 0.9, 9
2, 0.2, 0.1, 1.0, 10
2, 0.2, 0.2, 0.0, 11
2, 0.2, 0.2, 0.1, 12
2, 0.2, 0.2, 0.2, 13
2, 0.2, 0.2, 0.3, 14
2, 0.2, 0.2, 0.4, 15
2, 0.2, 0.2, 0.5, 16
2, 0.2, 0.2, 0.6, 17
2, 0.2, 0.2, 0.7, 18
2, 0.2, 0.2, 0.8, 19
2, 0.2, 0.2, 0.9, 20
2, 0.2, 0.2, 1.0, 21
2, 0.2, 0.3, 0.0, 22
2, 0.2, 0.3, 0.1, 23
2, 0.2, 0.3, 0.2, 24
2, 0.2, 0.3, 0.3, 25
2, 0.2, 0.3, 0.4, 26
2, 0.2, 0.3, 0.5, 27
2, 0.2, 0.3, 0.6, 28
2, 0.2, 0.3, 0.7, 29
2, 0.2, 0.3, 0.8, 30
2, 0.2, 0.3, 0.9, 31
2, 0.2, 0.3, 1.0, 32
2, 0.2, 0.4, 0.0, 33
2, 0.2, 0.4, 0.1, 34
2, 0.2, 0.4, 0.2, 35
2, 0.2, 0.4, 0.3, 36
2, 0.2, 0.4, 0.4, 37
2, 0.2, 0.4, 0.5, 38
2, 0.2, 0.4, 0.6, 39
2, 0.2, 0.4, 0.7, 40
2, 0.2, 0.4, 0.8, 41
2, 0.2, 0.4, 0.9, 42
2, 0.2, 0.4, 1.0, 43
2, 0.2, 0.5, 0.0, 44
2, 0.2, 0.5, 0.1, 45
2, 0.2, 0.5, 0.2, 46
2, 0.2, 0.5, 0.3, 47
2, 0.2, 0.5, 0.4, 48
2, 0.2, 0.5, 0.5, 49
2, 0.2, 0.5, 0.6, 50
2, 0.2, 0.5, 0.7, 51
2, 0.2, 0.5, 0.8, 52
2, 0.2, 0.5, 0.9, 53
2, 0.2, 0.5, 1.0, 54
2, 0.2, 0.6, 0.0, 55
2, 0.2, 0.6, 0.1, 56
2, 0.2, 0.6, 0.2, 57
2, 0.2, 0.6, 0.3, 58
2, 0.2, 0.6, 0.4, 59
2, 0.2, 0.6, 0.5, 60
2, 0.2, 0.6, 0.6, 61
2, 0.2, 0.6, 0.7, 62
2, 0.2, 0.6, 0.8, 63
2, 0.2, 0.6, 0.9, 64
2, 0.2, 0.6, 1.0, 65
2, 0.2, 0.7, 0.0, 66
2, 0.2, 0.7, 0.1, 67
2, 0.2, 0.7, 0.2, 68
2, 0.2, 0.7, 0.3, 69
2, 0.2, 0.7, 0.4, 70
2, 0.2, 0.7, 0.5, 71
2, 0.2, 0.7, 0.6, 72
2, 0.2, 0.7, 0.7, 73
2, 0.2, 0.7, 0.8, 74
2, 0.2, 0.7, 0.9, 75
2, 0.2, 0.7, 1.0, 76
2, 0.2, 0.8, 0.0, 77
2, 0.2, 0.8, 0.1, 78
2, 0.2, 0.8, 0.2, 79
2, 0.2, 0.8, 0.3, 80
2, 0.2, 0.8, 0.4, 81
2, 0.2, 0.8, 0.5, 82
2, 0.2, 0.8, 0.6, 83
2, 0.2, 0.8, 0.7, 84
2, 0.2, 0.8, 0.8, 85
2, 0.2, 0.8, 0.9, 86
2, 0.2, 0.8, 1.0, 87
2, 0.2, 0.9, 0.0, 88
2, 0.2, 0.9, 0.1, 89
2, 0.2, 0.9, 0.2, 90
2, 0.2, 0.9, 0.3, 91
2, 0.2, 0.9, 0.4, 92
2, 0.2, 0.9, 0.5, 93
2, 0.2, 0.9, 0.6, 94
2, 0.2, 0.9, 0.7, 95
2, 0.2, 0.9, 0.8, 96
2, 0.2, 0.9, 0.9, 97
2, 0.2, 0.9, 1.0, 98
2, 0.2, 1.0, 0.0, 99
2, 0.2, 1.0, 0.1, 100
2, 0.2, 1.0, 0.2, 101
2, 0.2, 1.0, 0.3, 102
2, 0.2, 1.0, 0.4, 103
2, 0.2, 1.0, 0.5, 104
2, 0.2, 1.0, 0.6, 105
2, 0.2, 1.0, 0.7, 106
2, 0.2, 1.0, 0.8, 107
2, 0.2, 1.0, 0.9, 108
2, 0.2, 1.0, 1.0, 109
2, 0.3, 0.1, 0.0, 110
2, 0.3, 0.1, 0.1, 111
2, 0.3, 0.1, 0.2, 112
2, 0.3, 0.1, 0.3, 113
2, 0.3, 0.1, 0.4, 114
2, 0.3, 0.1, 0.5, 115
2, 0.3, 0.1, 0.6, 116
2, 0.3, 0.1, 0.7, 117
2, 0.3, 0.1, 0.8, 118
2, 0.3, 0.1, 0.9, 119
2, 0.3, 0.1, 1.0, 120
2, 0.3, 0.2, 0.0, 121
2, 0.3, 0.2, 0.1, 122
2, 0.3, 0.2, 0.2, 123
2, 0.3, 0.2, 0.3, 124
2, 0.3, 0.2, 0.4, 125
2, 0.3, 0.2, 0.5, 126
2, 0.3, 0.2, 0.6, 127
2, 0.3, 0.2, 0.7, 128
2, 0.3, 0.2, 0.8, 129
2, 0.3, 0.2, 0.9, 130
2, 0.3, 0.2, 1.0, 131
2, 0.3, 0.3, 0.0, 132
2, 0.3, 0.3, 0.1, 133
2, 0.3, 0.3, 0.2, 134
2, 0.3, 0.3, 0.3, 135
2, 0.3, 0.3, 0.4, 136
2, 0.3, 0.3, 0.5, 137
2, 0.3, 0.3, 0.6, 138
2, 0.3, 0.3, 0.7, 139
2, 0.3, 0.3, 0.8, 140
2, 0.3, 0.3, 0.9, 141
2, 0.3, 0.3, 1.0, 142
2, 0.3, 0.4, 0.0, 143
2, 0.3, 0.4, 0.1, 144
2, 0.3, 0.4, 0.2, 145
2, 0.3, 0.4, 0.3, 146
2, 0.3, 0.4, 0.4, 147
2, 0.3, 0.4, 0.5, 148
2, 0.3, 0.4, 0.6, 149
2, 0.3, 0.4, 0.7, 150
2, 0.3, 0.4, 0.8, 151
2, 0.3, 0.4, 0.9, 152
2, 0.3, 0.4, 1.0, 153
2, 0.3, 0.5, 0.0, 154
2, 0.3, 0.5, 0.1, 155
2, 0.3, 0.5, 0.2, 156
2, 0.3, 0.5, 0.3, 157
2, 0.3, 0.5, 0.4, 158
2, 0.3, 0.5, 0.5, 159
2, 0.3, 0.5, 0.6, 160
2, 0.3, 0.5, 0.7, 161
2, 0.3, 0.5, 0.8, 162
2, 0.3, 0.5, 0.9, 163
2, 0.3, 0.5, 1.0, 164
2, 0.3, 0.6, 0.0, 165
2, 0.3, 0.6, 0.1, 166
2, 0.3, 0.6, 0.2, 167
2, 0.3, 0.6, 0.3, 168
2, 0.3, 0.6, 0.4, 169
2, 0.3, 0.6, 0.5, 170
2, 0.3, 0.6, 0.6, 171
2, 0.3, 0.6, 0.7, 172
2, 0.3, 0.6, 0.8, 173
2, 0.3, 0.6, 0.9, 174
2, 0.3, 0.6, 1.0, 175
2, 0.3, 0.7, 0.0, 176
2, 0.3, 0.7, 0.1, 177
2, 0.3, 0.7, 0.2, 178
2, 0.3, 0.7, 0.3, 179
2, 0.3, 0.7, 0.4, 180
2, 0.3, 0.7, 0.5, 181
2, 0.3, 0.7, 0.6, 182
2, 0.3, 0.7, 0.7, 183
2, 0.3, 0.7, 0.8, 184
2, 0.3, 0.7, 0.9, 185
2, 0.3, 0.7, 1.0, 186
2, 0.3, 0.8, 0.0, 187
2, 0.3, 0.8, 0.1, 188
2, 0.3, 0.8, 0.2, 189
2, 0.3, 0.8, 0.3, 190
2, 0.3, 0.8, 0.4, 191
2, 0.3, 0.8, 0.5, 192
2, 0.3, 0.8, 0.6, 193
2, 0.3, 0.8, 0.7, 194
2, 0.3, 0.8, 0.8, 195
2, 0.3, 0.8, 0.9, 196
2, 0.3, 0.8, 1.0, 197
2, 0.3, 0.9, 0.0, 198
2, 0.3, 0.9, 0.1, 199
2, 0.3, 0.9, 0.2, 200
2, 0.3, 0.9, 0.3, 201
2, 0.3, 0.9, 0.4, 202
2, 0.3, 0.9, 0.5, 203
2, 0.3, 0.9, 0.6, 204
2, 0.3, 0.9, 0.7, 205
2, 0.3, 0.9, 0.8, 206
2, 0.3, 0.9, 0.9, 207
2, 0.3, 0.9, 1.0, 208
2, 0.3, 1.0, 0.0, 209
2, 0.3, 1.0, 0.1, 210
2, 0.3, 1.0, 0.2, 211
2, 0.3, 1.0, 0.3, 212
2, 0.3, 1.0, 0.4, 213
2, 0.3, 1.0, 0.5, 214
2, 0.3, 1.0, 0.6, 215
2, 0.3, 1.0, 0.7, 216
2, 0.3, 1.0, 0.8, 217
2, 0.3, 1.0, 0.9, 218
2, 0.3, 1.0, 1.0, 219
2, 0.4, 0.1, 0.0, 220
